"Location","Equipment","Name","Type","I/O Type","Min/Max","Locked","GQL Path"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Zone Temperature","BAV","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/zone_temp"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Zone Weighted Environmental Index","BAV","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/enviro_windx"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Cooling OK","BBV","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/clok"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Econ Enable Status","BBV","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/eok"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Filter Status","BBV","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/pfilter_status"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Heating OK","BBV","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/htok"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Occ","BBV","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/occ"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Output Override Lock","BBV","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/clg_ovrde_lock"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Output Override Lock","BBV","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/econ_ovrde_lock"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Output Override Lock","BBV","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/htg_ovrde_lock"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Output Override Lock","BBV","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/vfd_ovrde_lock"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Run","BBV","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/run"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Schedule","BBV","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/schedule"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","point name","BMSV","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/m287"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","CHW_DP_LO","BALM","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/chw_dp_lo"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","CHW_VLV_FAIL_TO_CLS","BALM","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/chw_vlv_fail_to_cls"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","CHW_VLV_FAIL_TO_OPN","BALM","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/chw_vlv_fail_to_opn"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","CHWST_HI","BALM","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/chwst_hi"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","CO2_HI","BALM","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/co2_hi"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","HI_STATIC","BALM","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/hi_static"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","HW_DP_LO","BALM","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/hw_dp_lo"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","HW_VLV_FAIL_TO_CLS","BALM","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/hw_vlv_fail_to_cls"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","HW_VLV_FAIL_TO_OPN","BALM","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/hw_vlv_fail_to_opn"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","HWST_LO","BALM","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/hwst_lo"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","LO_STATIC","BALM","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/lo_static"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","MAT_HI_1","BALM","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/mat_hi_1"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","MAT_HI_2","BALM","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/mat_hi_2"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","MAT_LO_1","BALM","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/mat_lo_1"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","MAT_LO_2","BALM","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/mat_lo_2"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","PFILTER","BALM","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/pfilter"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","RAT_HI_1","BALM","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/rat_hi_1"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","RAT_HI_2","BALM","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/rat_hi_2"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","RAT_LO_1","BALM","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/rat_lo_1"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","RAT_LO_2","BALM","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/rat_lo_2"
